GAMEID,cluster
GAME_5410,24
GAME_4679,24
GAME_4214,7
GAME_5116,24
GAME_3984,19
GAME_5981,19
GAME_5257,15
GAME_5638,24
GAME_4392,7
GAME_5386,4
GAME_4439,24
GAME_2448,17
GAME_4444,24
GAME_4443,24
GAME_4172,19
GAME_4883,7
GAME_5559,24
GAME_2210,19
GAME_1601,7
GAME_5473,1
GAME_6747,1
GAME_4653,1
GAME_4548,24
GAME_2358,19
GAME_5995,19
GAME_5508,19
GAME_4974,19
GAME_4051,22
GAME_5716,19
GAME_4814,6
GAME_4665,7
GAME_5360,1
GAME_4755,19
GAME_6206,21
GAME_4928,19
GAME_5598,1
GAME_5558,24
GAME_6342,24
GAME_1755,24
GAME_4237,24
GAME_3274,19
GAME_5794,1
GAME_5347,19
GAME_4948,19
GAME_2633,9
GAME_2408,1
GAME_3017,19
GAME_5541,24
GAME_4386,1
GAME_5535,1
GAME_3932,24
GAME_4582,20
GAME_2430,19
GAME_4419,1
GAME_5649,23
GAME_5874,0
GAME_4483,19
GAME_4757,19
GAME_5491,1
GAME_4767,1
GAME_5550,24
GAME_5671,24
GAME_4720,7
GAME_2746,19
GAME_4531,19
GAME_4400,1
GAME_5404,19
GAME_5161,19
GAME_4013,19
GAME_4740,1
GAME_4852,19
GAME_3216,19
GAME_4811,6
GAME_5758,1
GAME_3948,19
GAME_4288,24
GAME_5702,0
GAME_4047,22
GAME_3258,7
GAME_5708,19
GAME_3280,19
GAME_5800,19
GAME_4539,7
GAME_4318,7
GAME_3257,7
GAME_4547,24
GAME_3432,19
GAME_4904,19
GAME_3978,19
GAME_5945,21
GAME_5470,1
GAME_5307,19
GAME_3947,19
GAME_4222,7
GAME_6183,7
GAME_4390,7
GAME_5853,24
GAME_3276,19
GAME_5659,7
GAME_4659,7
GAME_5399,19
GAME_4813,6
GAME_4831,24
GAME_5085,15
GAME_2865,15
GAME_5892,19
GAME_4640,19
GAME_4031,19
GAME_3612,19
GAME_4847,19
GAME_4888,1
GAME_4846,19
GAME_2487,19
GAME_3488,24
GAME_5516,1
GAME_5575,24
GAME_4963,19
GAME_5150,19
GAME_4352,19
GAME_5069,19
GAME_4969,19
GAME_4074,19
GAME_4677,24
GAME_6249,24
GAME_5239,19
GAME_2662,24
GAME_5875,0
GAME_3352,19
GAME_5502,19
GAME_5111,24
GAME_4937,24
GAME_4221,1
GAME_5707,19
GAME_2553,24
GAME_5063,1
GAME_4600,17
GAME_4305,24
GAME_3898,19
GAME_6590,19
GAME_5866,19
GAME_1458,5
GAME_4294,19
GAME_4876,7
GAME_5766,24
GAME_5446,19
GAME_4916,10
GAME_3536,19
GAME_4044,22
GAME_5593,1
GAME_4878,7
GAME_5759,1
GAME_4223,1
GAME_4909,19
GAME_4630,1
GAME_5546,24
GAME_1964,7
GAME_3124,7
GAME_5713,19
GAME_10812,19
GAME_3486,5
GAME_5333,24
GAME_4695,24
GAME_4415,1
GAME_5253,15
GAME_4696,24
GAME_3918,19
GAME_4391,7
GAME_5112,24
GAME_3731,19
GAME_5728,19
GAME_5658,1
GAME_4605,7
GAME_4518,19
GAME_4340,19
GAME_4266,19
GAME_5343,19
GAME_4228,7
GAME_3219,20
GAME_4579,20
GAME_4495,24
GAME_5362,24
GAME_5295,24
GAME_5070,19
GAME_5022,19
GAME_1494,20
GAME_5967,19
GAME_3805,24
GAME_5086,15
GAME_9773,16
GAME_5547,24
GAME_4860,19
GAME_5407,24
GAME_3011,19
GAME_3922,19
GAME_5629,19
GAME_6395,24
GAME_4173,19
GAME_2883,15
GAME_3303,19
GAME_11154,7
GAME_5308,19
GAME_3220,19
GAME_3956,7
GAME_3010,24
GAME_3122,19
GAME_3699,24
GAME_4965,19
GAME_5790,7
GAME_5672,24
GAME_4907,19
GAME_3820,19
GAME_5238,19
GAME_4497,24
GAME_5382,4
GAME_4310,24
GAME_3338,19
GAME_5032,24
GAME_5576,19
GAME_3982,19
GAME_3599,19
GAME_5908,1
GAME_9571,19
GAME_5258,15
GAME_5973,19
GAME_2195,7
GAME_2627,9
GAME_4743,1
GAME_5854,24
GAME_2634,9
GAME_3853,7
GAME_4594,19
GAME_5582,24
GAME_4320,7
GAME_5686,24
GAME_5043,24
GAME_4947,19
GAME_4210,7
GAME_5647,23
GAME_5031,24
GAME_3983,19
GAME_4639,1
GAME_4667,7
GAME_4843,24
GAME_4097,19
GAME_5018,24
GAME_5016,24
GAME_4574,19
GAME_5414,19
GAME_5356,1
GAME_4807,19
GAME_10817,19
GAME_5038,24
GAME_5280,19
GAME_5277,19
GAME_3444,1
GAME_3071,24
GAME_3715,7
GAME_5230,24
GAME_4975,19
GAME_4297,19
GAME_6284,1
GAME_4902,14
GAME_5471,1
GAME_5549,24
GAME_5330,1
GAME_2196,7
GAME_5880,1
GAME_4596,19
GAME_5722,24
GAME_4312,24
GAME_4203,19
GAME_2194,7
GAME_5351,19
GAME_5115,24
GAME_4342,19
GAME_3954,7
GAME_4651,19
GAME_3934,24
GAME_5930,1
GAME_4556,24
GAME_4795,24
GAME_5775,24
GAME_2749,19
GAME_3283,19
GAME_4042,19
GAME_4790,24
GAME_4782,24
GAME_4922,19
GAME_5286,19
GAME_5292,1
GAME_5706,0
GAME_3865,19
GAME_3356,19
GAME_4238,24
GAME_5397,19
GAME_3831,19
GAME_6713,19
GAME_1938,19
GAME_4062,19
GAME_5972,19
GAME_5801,19
GAME_4968,19
GAME_11801,19
GAME_1172,24
GAME_5969,19
GAME_5494,1
GAME_4906,19
GAME_3440,19
GAME_5948,21
GAME_3552,4
GAME_5316,24
GAME_4262,19
GAME_5894,19
GAME_4035,19
GAME_1614,7
GAME_4935,9
GAME_9798,16
GAME_4023,9
GAME_4278,19
GAME_5761,24
GAME_3564,12
GAME_4583,20
GAME_1238,19
GAME_5900,19
GAME_5158,19
GAME_5200,7
GAME_4832,5
GAME_4726,7
GAME_3301,19
GAME_5272,19
GAME_4025,9
GAME_4401,1
GAME_3445,1
GAME_2498,19
GAME_4217,7
GAME_5463,19
GAME_5916,24
GAME_5492,1
GAME_4796,24
GAME_5551,24
GAME_5163,19
GAME_3813,24
GAME_2824,24
GAME_3578,12
GAME_4931,19
GAME_6186,7
